A,あ,M
I,い,M
U,う,M
E,え,M
O,お,M
Blink,まばたき,E
Blink_R,ウィンク２,E
Blink_L,ｳｨﾝｸ２右,E
Joy,喜
Angry,怒
Sorrow,哀
Fun,楽
Surprised,驚
